Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",92.170000,-82.220000,180.000000,top
"C2","10uF","C_0805_2012Metric",96.600000,-69.350000,0.000000,top
"C3","47uF","C_1210_3225Metric",96.600000,-63.300000,0.000000,top
"C4","47uF","C_1210_3225Metric",96.600000,-66.550000,0.000000,top
"C5","1uF","C_0402_1005Metric",91.919253,-72.919077,180.000000,top
"C6","4700pF","C_0402_1005Metric",96.570000,-74.000000,0.000000,top
"C7","1uF","C_0402_1005Metric",96.590000,-72.000000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",89.560000,-71.130000,0.000000,top
"C9","2200pF","C_0402_1005Metric",96.570000,-73.000000,0.000000,top
"C10","4.7uF","C_0402_1005Metric",96.585636,-70.993183,0.000000,top
"C11","1000pF","C_0402_1005Metric",92.200000,-83.720000,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",93.400000,-85.275000,-90.000000,top
"C13","100pF","C_0402_1005Metric",87.630000,-77.490000,-90.000000,top
"C14","100uF","C_1206_3216Metric",99.600000,-78.775000,90.000000,top
"C15","100uF","C_1206_3216Metric",110.525000,-100.400000,0.000000,top
"C16","100uF","C_1206_3216Metric",110.525000,-93.800000,0.000000,top
"C17","100uF","C_1206_3216Metric",110.525000,-97.100000,0.000000,top
"C18","560uF","EEF-GX",104.000000,-77.250000,-90.000000,top
"C19","560uF","EEF-GX",109.300000,-77.250000,-90.000000,top
"C20","560uF","EEF-GX",110.500000,-84.100000,180.000000,top
"C21","1uF","C_0402_1005Metric",111.620000,-60.030000,0.000000,top
"C22","1uF","C_0402_1005Metric",131.105000,-106.250000,-90.000000,top
"C23","1uF","C_0402_1005Metric",113.720000,-60.030000,180.000000,top
"C24","10uF","C_0805_2012Metric",125.700000,-86.250000,0.000000,top
"C25","0.1uF","C_0402_1005Metric",125.770000,-84.750000,0.000000,top
"C26","1uF","C_0402_1005Metric",109.920000,-132.739000,0.000000,top
"C27","0.1uF","C_0402_1005Metric",118.480000,-119.800000,180.000000,top
"C28","0.1uF","C_0402_1005Metric",122.766590,-120.888410,180.000000,top
"C29","0.1uF","C_0402_1005Metric",122.680000,-113.490000,-90.000000,top
"C30","1uF","C_0402_1005Metric",114.240000,-129.680000,-90.000000,top
"C31","0.1uF","C_0402_1005Metric",120.286590,-122.368410,-90.000000,top
"C32","0.1uF","C_0402_1005Metric",118.286590,-122.408410,90.000000,top
"C33","10uF","C_0805_2012Metric",118.536590,-117.438410,90.000000,top
"C34","0.1uF","C_0402_1005Metric",95.500000,-116.270000,90.000000,top
"C35","100uF","C_1206_3216Metric",110.525000,-104.300000,0.000000,top
"C37","0.1uF","C_0402_1005Metric",101.620000,-106.400000,180.000000,top
"C38","0.1uF","C_0402_1005Metric",110.320000,-106.400000,0.000000,top
"C39","1uF","C_0402_1005Metric",110.320000,-107.400000,0.000000,top
"C40","1uF","C_0402_1005Metric",101.620000,-107.400000,180.000000,top
"C43","100uF","C_1206_3216Metric",101.575000,-104.300000,180.000000,top
"C47","0.1uF","C_0402_1005Metric",125.306590,-99.888410,0.000000,top
"C49","0.1uF","C_0402_1005Metric",127.516590,-101.888410,0.000000,top
"C50","470pF","C_0402_1005Metric",93.960000,-125.940000,180.000000,top
"C51","47uF","C_1210_3225Metric",90.825000,-140.900000,180.000000,top
"C52","0.1uF","C_0402_1005Metric",90.880000,-145.400000,180.000000,top
"C53","0.1uF","C_0402_1005Metric",97.200000,-140.730000,-90.000000,top
"C72","560uF","EEF-GX",110.500000,-89.400000,180.000000,top
"C73","0.1uF","C_0402_1005Metric",117.884000,-92.456000,180.000000,top
"C74","0.1uF","C_0402_1005Metric",124.980000,-61.500000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",78.740000,-55.905400,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",125.272800,-50.292000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",78.841600,-139.065000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",132.257800,-139.065000,0.000000,top
"L1","75nH","SLC1049",100.250000,-85.600000,180.000000,top
"Q1","MMBT3906","SOT-23",95.200000,-111.312500,90.000000,top
"Q3","MMBT3906","SOT-23",105.940100,-126.400000,0.000000,top
"Q4","MMBT2222A","SOT-23",89.750000,-67.312500,90.000000,top
"R1","4.64k","R_0402_1005Metric",86.100000,-75.500000,0.000000,top
"R2","~","R_0402_1005Metric",85.620000,-72.100000,0.000000,top
"R3","~","R_0402_1005Metric",86.100000,-74.330000,0.000000,top
"R4","~","R_0402_1005Metric",86.100000,-73.360000,0.000000,top
"R5","4.64k","R_0402_1005Metric",88.000000,-75.720000,0.000000,top
"R6","0","R_0402_1005Metric",88.000000,-72.100000,180.000000,top
"R7","~","R_0402_1005Metric",88.010000,-74.320000,180.000000,top
"R8","3.74k","R_0402_1005Metric",89.560000,-70.100000,0.000000,top
"R9","11.8k","R_0402_1005Metric",93.890000,-73.990000,180.000000,top
"R10","0","R_0402_1005Metric",88.010000,-73.170000,180.000000,top
"R11","10","R_0402_1005Metric",93.880000,-72.930000,180.000000,top
"R12","1","R_1206_3216Metric",90.600000,-85.062500,90.000000,top
"R13","49.9","R_0402_1005Metric",86.090000,-77.640000,180.000000,top
"R14","49.9","R_0402_1005Metric",86.090000,-76.570000,0.000000,top
"R15","10k","R_0402_1005Metric",113.740000,-74.500000,0.000000,top
"R16","10k","R_0402_1005Metric",129.675000,-106.260000,90.000000,top
"R17","0","R_0402_1005Metric",118.536590,-107.898410,90.000000,top
"R18","100","R_0402_1005Metric",104.310000,-70.600000,180.000000,top
"R19","0","R_0402_1005Metric",127.546590,-103.888410,0.000000,top
"R20","0","R_0402_1005Metric",93.600000,-82.810000,90.000000,top
"R21","10k","R_0402_1005Metric",127.526590,-105.638410,180.000000,top
"R22","100","R_0402_1005Metric",93.380000,-124.360000,90.000000,top
"R23","100","R_0402_1005Metric",94.520000,-124.360000,-90.000000,top
"R24","5.6k","R_0402_1005Metric",94.070000,-135.710000,0.000000,top
"R25","10k","R_0402_1005Metric",98.640000,-140.750000,90.000000,top
"R26","0","R_0402_1005Metric",127.546590,-102.888410,0.000000,top
"R27","0","R_0402_1005Metric",120.796590,-116.888410,180.000000,top
"R28","442","R_0402_1005Metric",120.776590,-118.888410,180.000000,top
"R29","549","R_0402_1005Metric",120.796590,-117.888410,180.000000,top
"R30","499","R_0402_1005Metric",122.776590,-118.888410,180.000000,top
"R31","332","R_0402_1005Metric",120.776590,-119.888410,180.000000,top
"R32","402","R_0402_1005Metric",122.796590,-119.888410,0.000000,top
"R33","33","R_0402_1005Metric",121.286590,-122.378410,90.000000,top
"R34","27","R_0402_1005Metric",119.286590,-122.378410,90.000000,top
"R35","0","R_0402_1005Metric",109.990000,-127.750000,180.000000,top
"R36","10k","R_0402_1005Metric",95.500000,-114.260000,90.000000,top
"R37","10k","R_0402_1005Metric",95.250000,-108.260000,90.000000,top
"R38","1k","R_0402_1005Metric",96.500000,-116.260000,90.000000,top
"R39","4.64k","R_0402_1005Metric",87.690000,-87.300000,0.000000,top
"R40","4.64k","R_0402_1005Metric",87.690000,-86.100000,0.000000,top
"R72","10k","R_0402_1005Metric",115.740000,-83.250000,0.000000,top
"R73","0","R_0402_1005Metric",117.740000,-82.250000,0.000000,top
"R74","40.2k","R_0402_1005Metric",117.760000,-83.250000,180.000000,top
"R75","0","R_0402_1005Metric",119.546590,-99.888410,180.000000,top
"R76","0","R_0402_1005Metric",121.547721,-99.888127,0.000000,top
"R77","0","R_0402_1005Metric",120.536590,-107.898410,90.000000,top
"R78","0","R_0402_1005Metric",119.536590,-107.898410,90.000000,top
"R79","0","R_0402_1005Metric",117.536590,-107.898410,-90.000000,top
"R80","4.64k","R_0402_1005Metric",104.310000,-69.600000,0.000000,top
"R81","4.64k","R_0402_1005Metric",104.310000,-68.600000,0.000000,top
"R82","4.64k","R_0402_1005Metric",104.290000,-67.600000,0.000000,top
"T1","net-tie","NetTie-0.25mm",90.825000,-77.850000,0.000000,top
"U3","RT9080-33GJ5","RT9080-33GJ5",112.563000,-63.380000,0.000000,top
"U5","SPX3819M5-L-1-8","SOT-23-5",110.981000,-130.229000,0.000000,top
"U7","24MHz","SMD3225-4P",119.650000,-113.550000,180.000000,top
"U9","SN74AVC4T774","TSSOP-16_4.4x5mm_P0.65mm",122.326590,-103.268410,0.000000,top
"U10","EMC2101","TSSOP-8_3x3mm_P0.65mm",93.895000,-129.990000,-90.000000,top
"U23","LM358","TSSOP-8_4.4x3mm_P0.65mm",117.425000,-87.862500,-90.000000,top
